2024-10-11 16:45:32,640 - INFO - Experiment Setup: Episodes: 1000, Task: 2, Window: 75
2024-10-11 16:45:32,640 - INFO - Algorithm Hyperparameters: {'epsilon': 0.1, 'alpha': 0.1, 'gamma': 0.9}
2024-10-11 16:45:32,640 - INFO - Show Render: False, Sim Speed: 0.001, Render Every Nth: 10000
2024-10-11 16:45:32,672 - INFO - Init Maze with agent at [0, 2] and goal at [2, 6], showRender=False
2024-10-11 16:45:32,672 - INFO - Init new SARSA Algorithm: eps=0.1 alpha=0.1 gamma=0.9
2024-10-11 16:45:32,877 - INFO - (SARSA) Ep 0 Length=12 Summed Reward=-12.6, pitfall=1.0, wallbumps=7.0
2024-10-11 16:45:33,084 - INFO - (SARSA) Ep 1 Length=61 Summed Reward=-16.7, pitfall=1.0, wallbumps=3.0
2024-10-11 16:45:33,292 - INFO - (SARSA) Ep 2 Length=85 Summed Reward=-19.3, pitfall=1.0, wallbumps=4.0
2024-10-11 16:45:33,497 - INFO - (SARSA) Ep 3 Length=11 Summed Reward=-11.5, pitfall=1.0, wallbumps=2.0
2024-10-11 16:45:33,702 - INFO - (SARSA) Ep 4 Length=44 Summed Reward=-14.4, pitfall=1.0, wallbumps=0.0
2024-10-11 16:45:33,906 - INFO - (SARSA) Ep 5 Length=14 Summed Reward=-12.2, pitfall=1.0, wallbumps=4.0
2024-10-11 16:45:34,109 - INFO - (SARSA) Ep 6 Length=18 Summed Reward=-12.2, pitfall=1.0, wallbumps=2.0
2024-10-11 16:45:34,314 - INFO - (SARSA) Ep 7 Length=38 Summed Reward=-14.6, pitfall=1.0, wallbumps=4.0
2024-10-11 16:45:34,523 - INFO - (SARSA) Ep 8 Length=117 Summed Reward=-23.1, pitfall=1.0, wallbumps=7.0
2024-10-11 16:45:34,740 - INFO - (SARSA) Ep 9 Length=239 Summed Reward=-35.3, pitfall=1.0, wallbumps=7.0
2024-10-11 16:45:34,944 - INFO - (SARSA) Ep 10 Length=21 Summed Reward=-1.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:35,149 - INFO - (SARSA) Ep 11 Length=33 Summed Reward=-2.7, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:35,356 - INFO - (SARSA) Ep 12 Length=70 Summed Reward=-17.8, pitfall=1.0, wallbumps=4.0
2024-10-11 16:45:35,567 - INFO - (SARSA) Ep 13 Length=131 Summed Reward=-12.5, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:35,771 - INFO - (SARSA) Ep 14 Length=31 Summed Reward=-2.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:35,981 - INFO - (SARSA) Ep 15 Length=95 Summed Reward=-20.1, pitfall=1.0, wallbumps=3.0
2024-10-11 16:45:36,184 - INFO - (SARSA) Ep 16 Length=12 Summed Reward=-0.4, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:36,390 - INFO - (SARSA) Ep 17 Length=35 Summed Reward=-2.9, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:36,593 - INFO - (SARSA) Ep 18 Length=14 Summed Reward=-0.6, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:36,807 - INFO - (SARSA) Ep 19 Length=122 Summed Reward=-22.8, pitfall=1.0, wallbumps=3.0
2024-10-11 16:45:37,010 - INFO - (SARSA) Ep 20 Length=3 Summed Reward=-10.7, pitfall=1.0, wallbumps=2.0
2024-10-11 16:45:37,221 - INFO - (SARSA) Ep 21 Length=116 Summed Reward=-12.2, pitfall=0.0, wallbumps=8.0
2024-10-11 16:45:37,426 - INFO - (SARSA) Ep 22 Length=31 Summed Reward=-2.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:37,633 - INFO - (SARSA) Ep 23 Length=61 Summed Reward=-5.5, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:37,846 - INFO - (SARSA) Ep 24 Length=145 Summed Reward=-14.3, pitfall=0.0, wallbumps=4.0
2024-10-11 16:45:38,050 - INFO - (SARSA) Ep 25 Length=11 Summed Reward=-0.5, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:38,252 - INFO - (SARSA) Ep 26 Length=13 Summed Reward=-0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:38,457 - INFO - (SARSA) Ep 27 Length=40 Summed Reward=-3.2, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:38,660 - INFO - (SARSA) Ep 28 Length=6 Summed Reward=-10.6, pitfall=1.0, wallbumps=0.0
2024-10-11 16:45:38,863 - INFO - (SARSA) Ep 29 Length=12 Summed Reward=-0.4, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:39,073 - INFO - (SARSA) Ep 30 Length=106 Summed Reward=-10.2, pitfall=0.0, wallbumps=3.0
2024-10-11 16:45:39,281 - INFO - (SARSA) Ep 31 Length=78 Summed Reward=-7.6, pitfall=0.0, wallbumps=4.0
2024-10-11 16:45:39,485 - INFO - (SARSA) Ep 32 Length=27 Summed Reward=-1.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:39,689 - INFO - (SARSA) Ep 33 Length=23 Summed Reward=-1.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:39,901 - INFO - (SARSA) Ep 34 Length=116 Summed Reward=-21.8, pitfall=1.0, wallbumps=1.0
2024-10-11 16:45:40,105 - INFO - (SARSA) Ep 35 Length=17 Summed Reward=-0.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:40,318 - INFO - (SARSA) Ep 36 Length=147 Summed Reward=-25.3, pitfall=1.0, wallbumps=3.0
2024-10-11 16:45:40,528 - INFO - (SARSA) Ep 37 Length=92 Summed Reward=-8.4, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:40,732 - INFO - (SARSA) Ep 38 Length=25 Summed Reward=-1.5, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:40,941 - INFO - (SARSA) Ep 39 Length=87 Summed Reward=-18.9, pitfall=1.0, wallbumps=1.0
2024-10-11 16:45:41,146 - INFO - (SARSA) Ep 40 Length=25 Summed Reward=-1.5, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:41,349 - INFO - (SARSA) Ep 41 Length=13 Summed Reward=-0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:41,557 - INFO - (SARSA) Ep 42 Length=74 Summed Reward=-7.4, pitfall=0.0, wallbumps=5.0
2024-10-11 16:45:41,762 - INFO - (SARSA) Ep 43 Length=41 Summed Reward=-3.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:41,973 - INFO - (SARSA) Ep 44 Length=116 Summed Reward=-11.0, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:42,179 - INFO - (SARSA) Ep 45 Length=65 Summed Reward=-5.5, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:42,383 - INFO - (SARSA) Ep 46 Length=17 Summed Reward=-0.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:42,586 - INFO - (SARSA) Ep 47 Length=22 Summed Reward=-1.2, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:42,792 - INFO - (SARSA) Ep 48 Length=36 Summed Reward=-3.2, pitfall=0.0, wallbumps=3.0
2024-10-11 16:45:42,996 - INFO - (SARSA) Ep 49 Length=21 Summed Reward=-1.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:43,201 - INFO - (SARSA) Ep 50 Length=43 Summed Reward=-3.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:43,405 - INFO - (SARSA) Ep 51 Length=11 Summed Reward=-0.5, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:43,608 - INFO - (SARSA) Ep 52 Length=13 Summed Reward=-0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:43,811 - INFO - (SARSA) Ep 53 Length=11 Summed Reward=-0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:44,017 - INFO - (SARSA) Ep 54 Length=53 Summed Reward=-4.5, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:44,223 - INFO - (SARSA) Ep 55 Length=40 Summed Reward=-14.4, pitfall=1.0, wallbumps=2.0
2024-10-11 16:45:44,427 - INFO - (SARSA) Ep 56 Length=13 Summed Reward=-0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:44,632 - INFO - (SARSA) Ep 57 Length=33 Summed Reward=-2.5, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:44,835 - INFO - (SARSA) Ep 58 Length=11 Summed Reward=-0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:45,038 - INFO - (SARSA) Ep 59 Length=15 Summed Reward=-0.5, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:45,241 - INFO - (SARSA) Ep 60 Length=10 Summed Reward=1.11e-16, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:45,445 - INFO - (SARSA) Ep 61 Length=7 Summed Reward=0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:45,648 - INFO - (SARSA) Ep 62 Length=13 Summed Reward=-0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:45,853 - INFO - (SARSA) Ep 63 Length=42 Summed Reward=-3.8, pitfall=0.0, wallbumps=3.0
2024-10-11 16:45:46,056 - INFO - (SARSA) Ep 64 Length=11 Summed Reward=-0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:46,261 - INFO - (SARSA) Ep 65 Length=37 Summed Reward=-2.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:46,466 - INFO - (SARSA) Ep 66 Length=27 Summed Reward=-2.1, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:46,669 - INFO - (SARSA) Ep 67 Length=11 Summed Reward=-0.3, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:46,872 - INFO - (SARSA) Ep 68 Length=11 Summed Reward=-0.5, pitfall=0.0, wallbumps=2.0
2024-10-11 16:45:47,074 - INFO - (SARSA) Ep 69 Length=1 Summed Reward=-10.1, pitfall=1.0, wallbumps=0.0
2024-10-11 16:45:47,278 - INFO - (SARSA) Ep 70 Length=22 Summed Reward=-2.0, pitfall=0.0, wallbumps=4.0
2024-10-11 16:45:47,484 - INFO - (SARSA) Ep 71 Length=34 Summed Reward=-3.8, pitfall=0.0, wallbumps=7.0
2024-10-11 16:45:47,687 - INFO - (SARSA) Ep 72 Length=11 Summed Reward=-0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:47,891 - INFO - (SARSA) Ep 73 Length=13 Summed Reward=-0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:48,093 - INFO - (SARSA) Ep 74 Length=3 Summed Reward=-10.3, pitfall=1.0, wallbumps=0.0
2024-10-11 16:45:48,296 - INFO - (SARSA) Ep 75 Length=7 Summed Reward=0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:48,501 - INFO - (SARSA) Ep 76 Length=27 Summed Reward=-1.7, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:48,705 - INFO - (SARSA) Ep 77 Length=12 Summed Reward=-0.4, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:48,908 - INFO - (SARSA) Ep 78 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:49,112 - INFO - (SARSA) Ep 79 Length=11 Summed Reward=-0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:49,315 - INFO - (SARSA) Ep 80 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:49,518 - INFO - (SARSA) Ep 81 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:49,720 - INFO - (SARSA) Ep 82 Length=7 Summed Reward=0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:49,923 - INFO - (SARSA) Ep 83 Length=7 Summed Reward=0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:50,126 - INFO - (SARSA) Ep 84 Length=7 Summed Reward=0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:50,329 - INFO - (SARSA) Ep 85 Length=7 Summed Reward=0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:50,532 - INFO - (SARSA) Ep 86 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:50,735 - INFO - (SARSA) Ep 87 Length=7 Summed Reward=0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:50,938 - INFO - (SARSA) Ep 88 Length=1 Summed Reward=-10.1, pitfall=1.0, wallbumps=0.0
2024-10-11 16:45:51,141 - INFO - (SARSA) Ep 89 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:51,346 - INFO - (SARSA) Ep 90 Length=35 Summed Reward=-4.3, pitfall=0.0, wallbumps=9.0
2024-10-11 16:45:51,549 - INFO - (SARSA) Ep 91 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:51,752 - INFO - (SARSA) Ep 92 Length=13 Summed Reward=-0.3, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:51,956 - INFO - (SARSA) Ep 93 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:52,159 - INFO - (SARSA) Ep 94 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:52,363 - INFO - (SARSA) Ep 95 Length=9 Summed Reward=0.1, pitfall=0.0, wallbumps=0.0
2024-10-11 16:45:52,565 - INFO - (SARSA) Ep 96 Length=10 Summed Reward=-0.2, pitfall=0.0, wallbumps=1.0
2024-10-11 16:45:52,768 - INFO - (SARSA) Ep 97 Length=7 Summed Reward=0.3, pitfall=0.0, wallbumps=0.0
